event_name,event_date,race_name,distance_m,athlete_name,finish_time,swim_time,bike_time,run_time,overall_position,category,country,bib,source
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Team TEAM SG MIX,2:36:17,0:11:05,0:25:34,2:06:38,1,male,SGP,1761,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Team TeamSG Mix,2:44:42,0:11:32,0:27:02,2:13:44,2,mixed,SGP,1763,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Rj Ross,2:44:56,0:12:57,0:29:59,2:10:33,3,n45-49,CAN,1503,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Team Five.45,2:47:14,0:14:21,0:33:32,2:09:21,4,male,PRT,1750,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Team Team Simply Active,2:48:36,0:15:17,0:34:37,2:10:09,5,male,CHE,1762,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Mervin Rencel Santiago,2:53:24,0:17:28,0:40:09,2:08:54,6,n30-34,PHL,1133,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Alex Thio,2:53:28,0:14:17,0:33:24,2:14:10,7,n35-39,SGP,1269,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Yosuke Tanaka,2:54:07,0:14:49,0:34:56,2:13:23,8,n45-49,JPN,1350,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Jennifer Zenker,2:54:43,0:13:28,0:30:57,2:17:59,9,f40-44,DEU,1331,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Vladimir Dzurilla,2:55:27,0:15:30,0:36:01,2:14:16,10,n40-44,SVK,1444,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Viacheslav Iashcheldov,2:56:36,0:13:27,0:31:34,2:19:09,11,n25-29,RUS,1081,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Zsolt Dallos,2:56:51,0:15:41,0:36:47,2:13:40,12,n45-49,AUS,1536,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Tomi Owoborode,2:56:52,0:14:41,0:35:05,2:13:38,13,n35-39,FIN,1261,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Bastian Wolff,2:57:30,0:17:36,0:40:50,2:10:57,14,n45-49,SGP,1523,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Markus Ziltener,2:58:19,0:15:27,0:36:15,2:16:14,15,n50-54,CHE,1469,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Giacomo Degli Innocenti,2:58:53,0:14:36,0:34:17,2:19:22,16,n35-39,ITA,1293,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Kurt Perry,2:59:57,0:16:49,0:39:35,2:15:55,17,n30-34,AUS,1173,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Daniel Forster,3:00:17,0:16:18,0:38:02,2:15:17,18,n35-39,GBR,1260,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Benoit Besnier,3:00:37,0:15:17,0:35:39,2:19:12,19,n30-34,FRA,1145,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Kristiane Glendale Lim,3:01:13,0:16:36,0:39:33,2:15:53,20,n40-44,PHL,1216,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Alexander Liauw,3:02:01,0:16:02,0:37:00,2:18:56,21,n50-54,AUS,1609,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,James Duquette,3:02:19,0:17:04,0:40:24,2:15:26,22,n35-39,USA,1249,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Team EPS Quantum Racing 1,3:02:55,0:20:49,0:48:17,2:09:01,23,corp relay,FRA,8,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Guillaume Lannes,3:03:55,0:14:22,0:33:49,2:25:02,24,n40-44,FRA,1215,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Andrea De Caprio,3:04:08,0:16:44,0:38:28,2:19:00,25,n45-49,ITA,1555,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Emily Sambrook Smith,3:04:26,0:13:12,0:30:36,2:28:15,26,f30-34,GBR,1040,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Filip Lievens,3:04:32,0:15:04,0:34:43,2:24:10,27,n55-59,BEL,1581,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Wai Kit Lam,3:04:34,0:19:04,0:44:45,2:15:43,28,n35-39,SGP,1289,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Ling Er Choo,3:05:25,0:16:42,0:38:36,2:20:59,29,f35-39,SGP,1195,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Jayden Lim,3:07:16,0:15:42,0:36:47,2:25:43,30,n20-24,SGP,1023,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Nick Warner,3:07:31,0:16:46,0:38:58,2:21:25,31,n35-39,GBR,1239,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Nico Ng,3:07:44,0:18:44,0:43:16,2:18:32,32,n30-34,SGP,1130,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Brice Tchaplyguine,3:07:47,0:17:12,0:39:39,2:21:48,33,n40-44,FRA,1368,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Murray Higgs,3:07:50,0:15:45,0:36:55,2:25:17,34,n55-59,AUS,1697,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Sean Lin,3:08:00,0:16:22,0:38:59,2:20:19,35,n25-29,SGP,1082,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Salvador Alarcon,3:08:40,0:17:17,0:40:26,2:21:51,36,n50-54,ESP,1628,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Marc Roig,3:09:24,0:15:52,0:36:40,2:28:10,37,n40-44,ESP,1352,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Sally Potter,3:09:29,0:18:05,0:42:24,2:21:36,38,f35-39,GBR,1200,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Amelie Dura,3:09:29,0:13:42,0:31:18,2:32:55,39,f20-24,IRL,1010,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Iman Pua,3:09:53,0:17:47,0:41:18,2:22:22,40,n25-29,SGP,1060,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Team Team Decathlon Vital Force,3:10:06,0:17:27,0:39:50,2:26:38,41,corp relay,FRA,3,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Aaron Lee,3:10:15,0:17:45,0:40:59,2:22:35,42,n25-29,SGP,1077,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Olaf Mueller,3:10:19,0:18:35,0:42:39,2:21:08,43,n45-49,DEU,1547,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Yuzhakov Igor,3:10:55,0:18:19,0:43:06,2:21:58,44,n40-44,IDN,1369,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Beate Van Loo-Born,3:11:07,0:19:53,0:46:44,2:18:18,45,f45-49,CHE,1463,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Alex Phillips,3:11:18,0:18:15,0:42:55,2:21:18,46,n45-49,GBR,1526,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Jennifer Morton,3:11:45,0:17:20,0:40:01,2:26:27,47,f30-34,GBR,1109,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Ho Yin Man,3:12:37,0:16:55,0:39:40,2:24:59,48,n35-39,HKG,1301,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Joshua Li,3:12:51,0:17:50,0:41:20,2:26:41,49,n35-39,SGP,1234,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,James Field,3:13:00,0:19:03,0:44:28,2:21:57,50,n45-49,GBR,1538,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Vianney Graffan,3:13:04,0:16:11,0:38:29,2:28:15,51,n35-39,FRA,1264,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Adrian Gonzales,3:13:22,0:18:04,0:41:39,2:23:57,52,n30-34,PHL,1174,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Martin Schlaefer,3:13:36,0:18:55,0:43:33,2:23:28,53,n55-59,DEU,1703,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Team Swire Team One,3:13:43,0:14:58,0:34:08,2:34:27,54,corp relay,HKG,6,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Margit Laurs,3:13:52,0:18:29,0:43:02,2:24:49,55,f35-39,NLD,1201,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Alen Chow,3:13:56,0:16:15,0:36:57,2:29:22,56,n25-29,GBR,1094,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Arden Gonzales,3:14:12,0:16:11,0:38:18,2:28:58,57,n20-24,PHL,1034,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Nadan Sehic,3:14:38,0:16:31,0:39:24,2:27:52,58,n40-44,USA,1221,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Justin Tan,3:14:56,0:15:24,0:36:00,2:32:00,59,n45-49,SGP,1483,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Richard Hall,3:15:07,0:17:00,0:39:51,2:30:01,60,n55-59,GBR,1584,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Renaud Joly,3:15:22,0:19:26,0:44:29,2:25:00,61,n50-54,SGP,1615,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Martin Sramek,3:15:31,0:15:38,0:36:48,2:33:01,62,n35-39,CZE,1306,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Team Swire Team Two,3:16:39,0:15:19,0:35:35,2:36:20,63,corp relay,VEN,7,sportstats
T100 Triathlon World Tour - Singapore,2026-04-26,100km Triathlon,100000,Stephen Ng,3:16:42,0:17:40,0:41:21,2:26:12,64,n30-34,SGP,1150,sportstats
