event_name,event_date,race_name,distance_m,athlete_name,finish_time,swim_time,bike_time,run_time,overall_position,category,country,bib,source
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Fabian Badia Vicent,2:34:51,,,,1,n40-44,ESP,3021,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Javier Rodriguez Alonso,2:37:43,,,,2,n45-49,ESP,3032,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Albert Torres Carles,2:41:34,,,,3,n50-54,ESP,3052,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Valerio Chinea Mirzoyan,2:43:11,,,,4,n30-34,ESP,3008,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Victor Sanchez Garcia,2:45:18,,,,5,n45-49,ESP,3033,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Miguel De La Huerta,2:45:20,,,,6,n40-44,ESP,3022,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Oscar Ordorica Inigo,2:46:29,,,,7,n45-49,ESP,3029,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Daniel Vega Romero,2:47:03,,,,8,n35-39,ESP,3019,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Vicente Garcia Martinez,2:47:36,,,,9,n50-54,ESP,3042,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Javier Antequera Rosado,2:48:34,,,,10,n20-24,ESP,3001,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Juan Miguel Esteban Aceituno,2:48:38,,,,11,n45-49,ESP,3028,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,David Linares Martins,2:48:38,,,,12,n20-24,ESP,3002,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Pablo Alvarez Caudevilla,2:49:38,,,,13,n50-54,ESP,3034,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Mikelats Ardanaz,2:50:08,,,,14,n35-39,ESP,3012,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Juan Pedro Medina Garcia,2:51:28,,,,15,n55-59,ESP,3061,sportstats
T100 Triathlon World Tour - Spain,2026-05-23,Aquabike,100000,Alex Higuera Blas,2:52:03,,,,16,n30-34,ESP,3009,sportstats
